,device_contact_id,unit_location_x,unit_location_y,mouse,shank_id,Mouse,coord_SCs_z,coord_SCs_y,coord_SCs_x,coord_CCFs_z,coord_CCFs_y,coord_CCFs_x,brain_region
69,s0e309,32.0,2310.0,20,0,M20,4328.297932239179,2054.1211166114963,-3150.0,9901.656942550579,2231.6871692657705,2550.0,VISpl5
70,s0e310,0.0,2325.0,20,0,M20,4329.846065632997,2039.2012210691355,-3150.0,9901.82028158875,2215.797389996932,2550.0,VISpl5
71,s0e311,32.0,2325.0,20,0,M20,4329.846065632997,2039.2012210691355,-3150.0,9901.82028158875,2215.797389996932,2550.0,VISpl5
72,s0e312,0.0,2340.0,20,0,M20,4331.394199026814,2024.2813255267752,-3150.0,9901.983620626921,2199.9076107280935,2550.0,VISpl5
73,s0e313,32.0,2340.0,20,0,M20,4331.394199026814,2024.2813255267752,-3150.0,9901.983620626921,2199.9076107280935,2550.0,VISpl5
74,s0e314,0.0,2355.0,20,0,M20,4332.942332420631,2009.3614299844144,-3150.0,9902.14695966509,2184.0178314592554,2550.0,VISpl5
75,s0e315,32.0,2355.0,20,0,M20,4332.942332420631,2009.3614299844144,-3150.0,9902.14695966509,2184.0178314592554,2550.0,VISpl5
76,s0e316,0.0,2370.0,20,0,M20,4334.490465814448,1994.441534442054,-3150.0,9902.310298703262,2168.1280521904173,2550.0,VISpl5
77,s0e317,32.0,2370.0,20,0,M20,4334.490465814448,1994.441534442054,-3150.0,9902.310298703262,2168.1280521904173,2550.0,VISpl5
78,s0e318,0.0,2385.0,20,0,M20,4336.038599208265,1979.5216388996937,-3150.0,9902.47363774143,2152.2382729215797,2550.0,VISpl5
79,s0e319,32.0,2385.0,20,0,M20,4336.038599208265,1979.5216388996937,-3150.0,9902.47363774143,2152.2382729215797,2550.0,VISpl5
80,s0e320,0.0,2400.0,20,0,M20,4337.586732602082,1964.601743357333,-3150.0,9902.636976779602,2136.348493652741,2550.0,VISpl5
81,s0e321,32.0,2400.0,20,0,M20,4337.586732602082,1964.601743357333,-3150.0,9902.636976779602,2136.348493652741,2550.0,VISpl5
82,s0e322,0.0,2415.0,20,0,M20,4339.1348659958985,1949.6818478149726,-3150.0,9902.80031581777,2120.4587143839026,2550.0,VISpl5
83,s0e323,32.0,2415.0,20,0,M20,4339.1348659958985,1949.6818478149726,-3150.0,9902.80031581777,2120.4587143839026,2550.0,VISpl5
84,s0e324,0.0,2430.0,20,0,M20,4340.682999389715,1934.7619522726122,-3150.0,9902.963654855941,2104.568935115065,2550.0,VISpl5
85,s0e325,32.0,2430.0,20,0,M20,4340.682999389715,1934.7619522726122,-3150.0,9902.963654855941,2104.568935115065,2550.0,VISpl5
86,s0e326,0.0,2445.0,20,0,M20,4342.231132783532,1919.8420567302514,-3150.0,9903.126993894111,2088.6791558462264,2550.0,VISpl5
87,s0e327,32.0,2445.0,20,0,M20,4342.231132783532,1919.8420567302514,-3150.0,9903.126993894111,2088.6791558462264,2550.0,VISpl5
88,s0e328,0.0,2460.0,20,0,M20,4343.779266177349,1904.922161187891,-3150.0,9903.290332932282,2072.7893765773883,2550.0,VISpl5
89,s0e329,32.0,2460.0,20,0,M20,4343.779266177349,1904.922161187891,-3150.0,9903.290332932282,2072.7893765773883,2550.0,VISpl5
90,s0e330,0.0,2475.0,20,0,M20,4345.327399571166,1890.0022656455308,-3150.0,9903.453671970452,2056.8995973085503,2550.0,VISpl5
91,s0e331,32.0,2475.0,20,0,M20,4345.327399571166,1890.0022656455308,-3150.0,9903.453671970452,2056.8995973085503,2550.0,VISpl5
92,s0e332,0.0,2490.0,20,0,M20,4346.875532964983,1875.08237010317,-3150.0,9903.61701100862,2041.0098180397117,2550.0,VISpl5
93,s0e333,32.0,2490.0,20,0,M20,4346.875532964983,1875.08237010317,-3150.0,9903.61701100862,2041.0098180397117,2550.0,VISpl5
